Category,Crop,DistrictName,KccAns,QueryText,QueryType,Season,month,year,cleaned_query,cleaned_answer,query_lang,answer_lang
Cereals,Paddy (Dhan),SHAHJAHANPUR,"श्रीमान जी, धान की फसल में तना बेधक तथा पत्ता लपेटक कीट  के प्रबंधन के लिए Bifenthrin 10% EC @ 200 ml प्रति एकड़ 200 लीटर पानी के साथ छिड़काव करें |","Information about control of leaf folder/stem borer in Paddy crop..?
",Plant Protection,Kharif,8,2024,Information about control of leaf folder stem borer in Paddy crop..?,"श्रीमान जी, धान की फसल में तना बेधक तथा पत्ता लपेटक कीट के प्रबंधन के लिए Bifenthrin 10 EC 200 ml प्रति एकड़ 200 लीटर पानी के साथ छिड़काव करें",english,hindi
Cereals,Paddy (Dhan),CHANDAULI,"महोदय धानमें/acre NPK[18:18:18]@2.0 kilogm+कॉपर ऑक्सिक्लोराइड 50 डब्ल्यूपी मात्रा 600 ग्राम + त्रिआजोफॉस[40ec]@500 मिलीलीटर +मल्टीप्लस 1000 ग्राम + स्ट्रिपोसाइक्लिन 6.0 ग्राम+250 liter water , घोल बनाकर स्प्रे करें|","Sir, give information about diseases and pest control in paddy crop….?",Plant Protection,Kharif,9,2020,"Sir, give information about diseases and pest control in paddy crop .?","महोदय धानमें acre NPK 18 18 18 2.0 kilogm कॉपर ऑक्सिक्लोराइड 50 डब्ल्यूपी मात्रा 600 ग्राम त्रिआजोफॉस 40ec 500 मिलीलीटर मल्टीप्लस 1000 ग्राम स्ट्रिपोसाइक्लिन 6.0 ग्राम 250 liter water , घोल बनाकर स्प्रे करें",english,hindi
Cereals,Paddy (Dhan),SONBHADRA,श्रीमान जी धान की फसल में पत्तियां सफेद होने से नियंत्रण के लिए 1 किलोग्राम फेरस सल्फेट एवं 4 किलोग्राम यूरिया 200 लीटर पानी में घोल बनाकर प्रति एकड़ छिड़काव करें,Information about control of whitening of leaves in paddy crop.?,Plant Protection,Kharif,8,2024,Information about control of whitening of leaves in paddy crop.?,श्रीमान जी धान की फसल में पत्तियां सफेद होने से नियंत्रण के लिए 1 किलोग्राम फेरस सल्फेट एवं 4 किलोग्राम यूरिया 200 लीटर पानी में घोल बनाकर प्रति एकड़ छिड़काव करें,english,hindi
Cereals,Paddy (Dhan),GAUTAM BUDDHA NAGAR,श्रीमान जी धान की फसल में यूरिया का प्रयोग ना करें आवश्यकता से अधिक यूरिया का प्रयोग किया जा चुका हैजब फसल 35 दिन की हो जाए तबआप 10 किलोग्राम सागरिका और 5 किलोग्राम जिंक सल्फेट प्रति एकर बिखेर कर प्रयोग करें ,Give me information about fertilizers dose in paddy crop? ,Plant Protection,Zaid,5,2024,Give me information about fertilizers dose in paddy crop?,श्रीमान जी धान की फसल में यूरिया का प्रयोग ना करें आवश्यकता से अधिक यूरिया का प्रयोग किया जा चुका हैजब फसल 35 दिन की हो जाए तबआप 10 किलोग्राम सागरिका और 5 किलोग्राम जिंक सल्फेट प्रति एकर बिखेर कर प्रयोग करें,english,hindi
Cereals,Wheat,MAHARAHGANJ,श्रीमान जी गेहूं की फसल में triazophos 40 ec 400ml प्रति एकड़ की दर से 200 लीटर पानी में घोल बनाकर स्प्रे करें,Information about Insect control in Wheat crop...?,Plant Protection,Rabi,2,2021,Information about Insect control in Wheat crop...?,श्रीमान जी गेहूं की फसल में triazophos 40 ec 400ml प्रति एकड़ की दर से 200 लीटर पानी में घोल बनाकर स्प्रे करें,english,hindi
Cereals,Paddy (Dhan),GONDA,श्रीमान जी धान की नर्सरी डालने से पहले बीज को कार्बेंडाजिम 50% डब्ल्यूपी 2 से 3 ग्राम दवा प्रति किलोग्राम बीज की दर से बीज शोधित करके डालें |,"Information about seed treatment in paddy crop ?
",Plant Protection,Kharif,6,2023,Information about seed treatment in paddy crop ?,श्रीमान जी धान की नर्सरी डालने से पहले बीज को कार्बेंडाजिम 50 डब्ल्यूपी 2 से 3 ग्राम दवा प्रति किलोग्राम बीज की दर से बीज शोधित करके डालें,english,hindi
Cereals,Wheat,BADAUN,श्री  मान  जी  आप  गेहू में  NPK 19:19:19 1.5 kg / एकर 180 लीटर  पानी  में  घोल  कर  स्प्रे  करे  .,Provide about information of growth problem in Wheat crop...?,Fertilizer Use and Availability,Rabi,1,2023,Provide about information of growth problem in Wheat crop...?,श्री मान जी आप गेहू में NPK 19 19 19 1.5 kg एकर 180 लीटर पानी में घोल कर स्प्रे करे .,english,hindi
Cereals,Wheat,BADAUN,"श्रीमान जी गेहूं में उर्वरक की मात्रा-नाइट्रोजन 120 किलोग्राम फास्फोरस 60 किलोग्राम पोटाश 40 किलोग्राम/हेक्टेयर की दर से प्रयोग की जाती है,मिट्टी की जांच के आधार पर उर्वरक की मात्रा निर्धारित होती है",Give Information about fertilizer use in wheat....?,Fertilizer Use and Availability,Rabi,11,2021,Give Information about fertilizer use in wheat....?,"श्रीमान जी गेहूं में उर्वरक की मात्रा-नाइट्रोजन 120 किलोग्राम फास्फोरस 60 किलोग्राम पोटाश 40 किलोग्राम हेक्टेयर की दर से प्रयोग की जाती है,मिट्टी की जांच के आधार पर उर्वरक की मात्रा निर्धारित होती है",english,hindi
Cereals,Paddy (Dhan),PRATAPGARH,"संकर धान की अच्छी पैदावार लेने के लिए 150 किग्रा० नत्रजन (यूरिया 260 किग्रा०, 75 किग्रा० पोटाश (124 किग्रा० mop)एवं फास्फोरस (DAP 162 किग्रा०)आवश्यकतानुसार 25 किग्रा० जस्ता प्रति हेक्टेयर आवश्यकता होती है। नत्रजन की आधी तथा फास्फोरस तथा पोटाश की पूरी मात्रा रोपाई के समय तथा शेष नत्रजन मात्रा दो बराबर भागों में कल्ले निकलते समय तथा गोभ बनते समय देना चाहिए।",information about fertilizer in paddy............?,Fertilizer Use and Availability,Kharif,7,2020,information about fertilizer in paddy............?,"संकर धान की अच्छी पैदावार लेने के लिए 150 किग्रा० नत्रजन (यूरिया 260 किग्रा०, 75 किग्रा० पोटाश (124 किग्रा० mop)एवं फास्फोरस (DAP 162 किग्रा०)आवश्यकतानुसार 25 किग्रा० जस्ता प्रति हेक्टेयर आवश्यकता होती है। नत्रजन की आधी तथा फास्फोरस तथा पोटाश की पूरी मात्रा रोपाई के समय तथा शेष नत्रजन मात्रा दो बराबर भागों में कल्ले निकलते समय तथा गोभ बनते समय देना चाहिए।",english,hindi
Cereals,Paddy (Dhan),BULANDSHAHAR,"श्रीमान जी, धान की फसल में प्रथम टॉप ड्रेसिंग उर्वरक का प्रयोग 35 किलोग्राम यूरिया , 5 किलोग्राम जिंक सल्फेट 33% तथा 10 किलोग्राम दानेदार सागरिका प्रति एकड़ की दर से प्रयोग करें |
","Information about the first top dressing fertilizer application in Paddy crop  ?
",Fertilizer Use and Availability,Kharif,7,2024,Information about the first top dressing fertilizer application in Paddy crop ?,"श्रीमान जी, धान की फसल में प्रथम टॉप ड्रेसिंग उर्वरक का प्रयोग 35 किलोग्राम यूरिया , 5 किलोग्राम जिंक सल्फेट 33 तथा 10 किलोग्राम दानेदार सागरिका प्रति एकड़ की दर से प्रयोग करें",english,hindi
